company_name,relevance_score,reasoning,event_name,source_url
"""DCL (Fabricator)",10.0,DCL is a fabricator that could potentially use DuPont's protective films in their fabrication process.,International Sign Association (ISA),https://www.signs.org/
Gensler,7.0,Gensler is a design company that might specify the use of DuPont's protective films in their designs.,International Sign Association (ISA),https://www.signs.org/
CallisonRTKL,7.0,"CallisonRTKL, as a design company, might specify the use of DuPont's protective films in their designs.",International Sign Association (ISA),https://www.signs.org/
Kieffer-Starlite,10.0,Kieffer-Starlite is a sign company that could potentially use DuPont's protective films in their sign production.,International Sign Association (ISA),https://www.signs.org/
Sign Faces LLC,10.0,Sign Faces LLC is a sign company that could potentially use DuPont's protective films in their sign production.,International Sign Association (ISA),https://www.signs.org/
ikeGPS,3.0,"ikeGPS is a technology company that might not directly use DuPont's protective films, but could potentially partner for technological integrations.",International Sign Association (ISA),https://www.signs.org/
Lauretano Sign Group,10.0,Lauretano Sign Group is a sign company that could potentially use DuPont's protective films in their sign production.,International Sign Association (ISA),https://www.signs.org/
Signarama,10.0,Signarama is a sign and graphics franchise that could potentially use DuPont's protective films in their sign and graphics production.,International Sign Association (ISA),https://www.signs.org/
Ernst & Young,1.0,"Ernst & Young is a professional services firm that is unlikely to use DuPont's protective films but could provide industry insights.""",International Sign Association (ISA),https://www.signs.org/
Apologies,0.0,"sponsors, exhibitors, or relevant industry brands. Therefore, it's not possible to provide the requested information.",ISA Sign Expo 2025,https://isasignexpo2025.mapyourshow.com/8_0/explore/exhibitor-gallery.cfm?featured=false&categories=1%7C20~~~~1%7C47~~~~1%7C52~~~~1%7C57
I'm sorry,0.0,I'm unable to provide the required information.,Printing United Expo,https://www.printingunited.com/
